snapshot_date,symbol,name
2026-08-14,601877.SH,正泰电器
2026-08-14,601878.SH,浙商证券
2026-08-14,601881.SH,中国银河
2026-08-14,601888.SH,中国中免
2026-08-14,601898.SH,中煤能源
2026-08-14,601899.SH,紫金矿业
2026-08-14,601901.SH,方正证券
2026-08-14,601916.SH,浙商银行
2026-08-14,601919.SH,中远海控
2026-08-14,601939.SH,建设银行
2026-08-14,601985.SH,中国核电
2026-08-14,601988.SH,中国银行
2026-08-14,601995.SH,中金公司
2026-08-14,601998.SH,中信银行
2026-08-14,603019.SH,中科曙光
2026-08-14,603259.SH,药明康德
2026-08-14,603260.SH,合盛硅业
2026-08-14,603288.SH,海天味业
2026-08-14,603296.SH,华勤技术
2026-08-14,603369.SH,今世缘
2026-08-14,603392.SH,万泰生物
2026-08-14,603501.SH,豪威集团
2026-08-14,603799.SH,华友钴业
2026-08-14,603893.SH,瑞芯微
2026-08-14,603986.SH,兆易创新
2026-08-14,603993.SH,洛阳钼业
2026-08-14,605117.SH,德业股份
2026-08-14,605499.SH,东鹏饮料
2026-08-14,688008.SH,澜起科技
2026-08-14,688009.SH,中国通号
2026-08-14,688012.SH,中微公司
2026-08-14,688036.SH,传音控股
2026-08-14,688041.SH,海光信息
2026-08-14,688047.SH,龙芯中科
2026-08-14,688072.SH,拓荆科技
2026-08-14,688082.SH,盛美上海
2026-08-14,688111.SH,金山办公
2026-08-14,688126.SH,沪硅产业
2026-08-14,688183.SH,生益电子
2026-08-14,688223.SH,晶科能源
2026-08-14,688256.SH,寒武纪
2026-08-14,688271.SH,联影医疗
2026-08-14,688303.SH,大全能源
2026-08-14,688396.SH,华润微
2026-08-14,688472.SH,阿特斯
2026-08-14,688506.SH,百利天恒
2026-08-14,688521.SH,芯原股份
2026-08-14,688981.SH,中芯国际
